class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_00000167,,,"A linear shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of granular material, resulting in localized shallowing (shoaling) of the water. Bars can appear in the sea, in a lake, or in a river. They are typically composed of sand, although could be of any granular matter that the moving water has access to and is capable of shifting around (for example, soil, silt, gravel, cobble, shingle, or even boulders). The grain size of the material comprising a bar is related: to the size of the waves or the strength of the currents moving the material, but the availability of material to be worked by waves and currents is also important.",,seafloor feature,,,"tongue (seafloor), bank, Shoal, ball, barrier beach, barrier island, cuspate spit, hook, hooked spit, longshore bar, marsh bar, offshore bar, point, recurved spit, sand bank, sand bar, sand hom, sand lobe, sand spit, sandbar, shoal, shoal patches, shoals, spit, tongue, transverse bar, undersea shoal",,,bar,ENVO_00000012
ENVO_00000168,,,A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air.,,,,,,,,blowhole,ENVO_00000012
ENVO_00000169,,,"Relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope.",,,,,"gulch, ravine, barranca, defile, gap, chasm, gorge, valley, flume (natural), quebrada",,,canyon,ENVO_00000100
ENVO_00000170,,,A hill of sand built by eolian processes.,,"mount, ridge, sandy area",sand dune,interdune trough,sand hill,,,dune,ENVO_00000083
ENVO_00000171,,,"A valley that contains, and has been formed by, a river.",,,,,,,,river valley,ENVO_00000129
ENVO_00000172,,"There should be  relation here to ENVO:sand, but it's more than ""primarily composed of"" and must call upon the idea of ""ground surface"" or layer.",A desert plain characterized by a surface veneer of sand.,,"sandy area, desert",,,,,,sandy desert,ENVO_00000097
ENVO_00000173,,"There should be  relation here to ENVO:rock, but it's more than ""primarily composed of"" and must call upon the idea of ""ground surface"" or layer.",A desert plain characterized by a surface veneer of rock.,,desert,rock desert,,,,,rocky desert,ENVO_00000097
ENVO_00000174,,,Narrow section of land in a body of water connecting two larger land areas.,,,,,"land bridge, neck, submarine isthmus",,envoPolar,isthmus,ENVO_01001884
ENVO_00000175,,"Karsts usually form in masses of carbonate rock such as limestone or dolomite. Karst landscapes display distinctive surface features and underground drainages, and in some examples there may be little or no surface drainage.",A surface landform which is formed by the dissolution of a soluble layer or layers of bedrock.,,,,,karst area,,,karst,ENVO_01001884
ENVO_00000176,,,A landform elevated above the surrounding area.,,elevation,,,,,,elevated landform,ENVO_01001886
ENVO_00000177,,,"An accumulation of boulders, stones, or other debris carried and deposited by a glacier.",,,glacial moraine,,,,envoPolar,moraine,ENVO_01001884
ENVO_00000178,,,"An artificial slope or wall, usually earthen, which parallels the course of a river, built for the purpose of containing the river.",,,,,"levee, EMBANKMENT, REVETMENT, berm, dike, dike (manmade), dyke, embankment, revetment",,,levee,"ENVO_00000070, ENVO_00000012, ENVO_00002000"
ENVO_00000179,,,An elevated area of land with a flat top and sides that are usually steep cliffs. Mesas form in areas where horizontally layered rocks are uplifted by tectonic activity.,,plateau,,,butte,,,mesa,ENVO_01001491
ENVO_00000180,,,A rounded elevated area.,,,,,"mount, mound",,,mound,ENVO_00000477
ENVO_00000181,,"""peak"" in the definition is understood as a synonym of mount, rather than of summit. Nunataks may also refer to areas of ridges. The definition and placement of this class may need to be revised.","The exposed summit of a ridge, mountain, or peak not covered with ice or snow within an ice field or glacier. The term is typically used in areas where a permanent ice mass is present.",,glacier feature,,,"mountain summit, nunatak, nunataks, peak",,envoPolar,nunatak,ENVO_00000480
ENVO_00000182,,,An elevated and comparatively level expanse of land.,,,"PLATEAU, Plateau",,"plateau, highland, intermontane plateau, table mountain, tableknoll, tableland, tablemount, upland",,,plateau,ENVO_01001491
ENVO_00000183,,"There should be  relation here to ENVO:rock and ENVO:gravel, but it's more than ""primarily composed of"" and must call upon the idea of ""ground surface"" or layer.",A desert plain characterized by a surface veneer of gravel or stones.,,desert,,,,,,stony desert,ENVO_00000097
ENVO_00000184,,,A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume.,,valley,,,,,envoPolar,hanging valley,ENVO_00000248
ENVO_00000185,,,"Rain-fed, potentially deep peatlands occurring principally in lowland areas across much of Northern Europe, as well as in the former USSR, North America and parts of the southern hemisphere.",,wetland,,,raised bog,,,raised mire,ENVO_00000044
ENVO_00000186,,,"Flat or concave peatlands with a string-like pattern of hummocks (hence the name), found principally in northern Scandinavia but occurring in the western parts of the former USSR and in North America. A few examples exist in northern Britain.",,wetland,string bog,,,,,string mire,ENVO_00000044
ENVO_00000187,,,"Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR.",,,,,,,envoPolar,tundra mire,ENVO_00000044
ENVO_00000188,,"These develop where the ground surface is frozen only for part of the year, and are common in the former USSR, Canada and parts of Scandinavia.","Peatland typified by characteristic high mounds, each with a permanently frozen core, with wet depressions between the mounds.",,,,,,,,palsa mire,ENVO_00000044
ENVO_00000189,,"This type of peatland covers around 350,000 km2, primarily in south-east Asia but also occurring in the Everglades in Florida.","Forested peatlands including both rain- and groundwater-fed types, commonly recorded in tropical regions with high rainfall.",,,,,,,,peat swamp,ENVO_00000044
ENVO_00000190,,,Feature on the ocean floor at a depth of 3500 - 6000 meters.,,,,,"ocean floor feature, Abyssalhill, abyssal hill",,,abyssal feature,ENVO_00000104
ENVO_00000191,,,A part of an astronomical body which is primarily composed of solid material.,,,,,"geological feature, landform, physiographic feature",,,solid astronomical body part,ENVO_01001784
ENVO_00000192,,,"A wetland that forms when mud is deposited by the tides, rivers, sea or oceans.",,wetland,mud flat,,mud flat,,,mudflat,ENVO_00000230
ENVO_00000193,,,,,,,,"wood, olive grove",,,olive grove,ENVO_00000117
ENVO_00000195,,,"A natural depression or hole in the surface topography caused by the removal of soil or bedrock, often both, by water. Sinkholes may vary in size from less than a meter to several hundred meters both in diameter and depth, and vary in form from soil-lined bowls to bedrock-edged chasms.",,basin,,,"cenote, sink",,,sinkhole,"ENVO_01001884, ENVO_00000309"
ENVO_00000196,,,A dry lakebed consisting of fine-grained sediments infused with alkali salts. Generally the shore or bed of an endorheic lake.,,,,,"salina, chott, kavir, playa",,,alkaline flat,ENVO_01000296
ENVO_00000197,,,"A lake from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material.",,,closed lake,,,,,endorheic lake,ENVO_00000020
ENVO_00000198,,,A lake permanently covered by ice.,,,,,,,envoPolar,ice-covered lake,ENVO_00000488
ENVO_00000199,,The deepest layer of water in such a lake typically does not contain any dissolved oxygen. The layers of sediment at the bottom of a meromictic lake remain relatively undisturbed because there are no living organisms to stir them up.,A lake which has layers of water which do not intermix.,,,,,,,,meromictic lake,ENVO_00000020
ENVO_00000200,,,"A lake, part of whose margin is formed by an ice mass, ice cap or glacier, the ice having obstructed the natural drainage of the land.",,,,,,,envoPolar,periglacial lake,ENVO_00000488
ENVO_00000201,,,"A lake in a glacially eroded valley, which has been eroded below sea level.",,,,,,,envoPolar,fjord lake,ENVO_00000020
ENVO_00000202,,,A lake which is formed when a wide meander from a stream or a river is cut off to form a lake. They are called oxbow lakes due to the distinctive curved shape that results from this process.,,,,,,,,oxbow lake,ENVO_00000020
ENVO_00000203,,,"A lake which fills a depression that has formed as a result of subsidence along a a rift zone, an area of extensional tectonics in the continental crust.",,,,,,,,rift lake,ENVO_01001092
ENVO_00000204,,,A spring through which fluid intermittently flows.,,,,,,,,ephemeral spring,ENVO_00000027
ENVO_00000205,,,A spring whose flow is continuous.,,,,,,,,permanent spring,ENVO_00000027
ENVO_00000206,,,The water mass of an ocean directly above a continental shelf.,,,,,,,"envoMarine, envoPolar",marine neritic zone,ENVO_01000295
ENVO_00000207,,,The water mass of an ocean that is not above a continental shelf.,,,OceanLayer,,,,"envoMarine, envoPolar",oceanic zone,ENVO_01000295
ENVO_00000208,,,An open ocean region.,,,,,,,"envoMarine, envoPolar",marine pelagic zone,ENVO_01000295
ENVO_00000209,,,"The zone of an ocean from the surface to where photosynthesis can occur, due to the penetration of light.",,,"PhoticZone, epipelagic zone",,,,"envoMarine, envoPolar",marine photic zone,ENVO_01000295
ENVO_00000210,,,"The zone of an ocean below 200m, in which photosynthesis cannot occur due to the lack of light.",,,AphoticZone,,,,"envoMarine, envoPolar",marine aphotic zone,ENVO_01000295
ENVO_00000211,,,The one of an ocean below the 10degC thermocline down to a temperature of 4degC.,,,,,,,envoMarine,marine bathypelagic zone,ENVO_00000210
ENVO_00000212,,,"The zone of the ocean below the bathypelagic zone, with its lowest boundary at about 6000m.",,,,,,,envoMarine,marine abyssalpelagic zone,ENVO_00000210
ENVO_00000213,,,The zone of an ocean immediately below the photic zone down to a depth where the water temperature is 10degC (the thermocline).,,,,,,,envoMarine,marine mesopelagic zone,ENVO_00000210
ENVO_00000214,,,"The zone of an ocean in oceanic trenches, lying between 6000m and 10,000m.",,,,,,,envoMarine,hadalpelagic zone,ENVO_00000210
ENVO_00000215,,,A fissure in the Earths's surface from which geothermally heated water issues.,,,HydrothermalVents,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,hydrothermal vent,ENVO_00000027
ENVO_00000216,,,A hole in the Earth's crust from which steam and gases are emitted.,,thermal feature,FUMAROLE,,,,,fumarole,ENVO_01000667
ENVO_00000217,,,A fumarole that emits sulfurous gases.,,,,,,,,solfatara,ENVO_00000216
ENVO_00000218,,,"A hydrothermal vent found on the ocean floor. The vents are formed in fields hundreds of meters wide when superheated water from below the Earth's crust comes through the ocean floor. The superheated water is rich in dissolved minerals from the crust, most notably sulfides, which crystallize to create a chimney-like structure around each vent. When the superheated water in the vent comes in contact with the cold ocean water, many minerals are precipitated, creating the distinctive black color. The metal sulfides that are deposited can become massive sulfide ore deposits in time.",,,active chimney,,"oceanic vent, sea vent",,,black smoker,ENVO_01000122
ENVO_00000219,,envoPolar,A sea that is not connected with an ocean.,,lake,,,inland sea,,envoMarine,landlocked sea,ENVO_00000016
ENVO_00000220,,,A group of geographically or geologically associated islands.,,,ISLAND CLUSTER,,"IslandArc, island arc, island group",,,archipelago,ENVO_01001784
ENVO_00000221,,,An island that lies on a continental shelf.,,,,,,,,continental island,ENVO_00000098
ENVO_00000222,,,"An island that does not sit on a continental shelf, and is of volcanic origin.",,,,,volcanic island,,,oceanic island,ENVO_00000098
